pdb_id,model_number,plddt,cdr1a_plddt,cdr1b_plddt,cdr2a_plddt,cdr2b_plddt,cdr3a_plddt,cdr3b_plddt,iptm_mean,iptm_tcrpmhc,pdockq,avgipde_a,avgipde_b,avgipae_a,avgipae_b,pdockq2_a,pdockq2_b,seed,ipsae,ipsae_d0chn,iptm_af,ipsae_d0dom,iptm_d0chn,seed,sample,ranking_score,iRMSD,TCR-iRMSD,Peptide-RMSD,MHC-iRMSD,CDR3a-RMSD,CDR3b-RMSD,DockQ,iRMSD-DockQ,lRMSD-DockQ,Fnat,Clashes,Quality,avgpdockq2,avgipae,avgipde
2jcc,3,89.41323619163869,71.78,57.72632653061225,74.43447916666666,83.43804347826087,78.04045454545454,82.01414893617022,0.7140000000000001,0.65,0.253,0.7918938397194356,0.6977247811123508,0.5122727272727272,0.5122727272727272,0.3454905662995447,0.0911639043338473,1894783427,0.3532865,0.59964275,0.65,0.5882762500000001,0.5882762500000001,1894783427,3,0.7809240034364925,1.7601594,3.1966052,1.0503393,1.1024026,1.8497121,3.4776638,0.545,3.175,4.418,0.667,0,MQ,0.218327235316696,0.5122727272727272,0.7448093104158933
2jcc,2,89.31828806835522,73.09877551020408,58.31326530612245,74.30229166666668,83.49434782608697,78.09204545454547,81.84776595744681,0.724,0.67,0.304,0.805093108402753,0.6980322158030762,0.5213333333333333,0.5213333333333333,0.3704930176653334,0.0914289050711363,1894783427,0.38195775,0.6177445,0.67,0.61082875,0.61082875,1894783427,2,0.7897084875160387,1.8123026,3.3281376,1.0285457,1.1085039,2.1756265,3.2285976,0.555,3.219,3.579,0.638,0,MQ,0.23096096136823485,0.5213333333333333,0.7515626621029146
8gon,4,89.05383754348813,70.39083333333333,69.42642857142857,75.8494827586207,74.6364705882353,72.98734693877552,65.14930693069307,0.428,0.1425,0.257,0.1382140673416013,0.1587050246981329,0.0505,0.0505,0.0107120181274111,0.0097297676893551,1469676904,0.0,0.0,0.1425,0.07472225,0.07472225,1469676904,4,0.5069999451177903,2.4861073,4.0212045,2.1239324,1.6566393,4.298697,4.1037354,0.498,2.504,4.981,0.486,1,MQ,0.0102208929083831,0.0505,0.1484595460198671
8gon,3,88.84739827560128,70.51533333333333,68.66799999999998,77.10620689655173,75.56441176470588,73.40163265306123,67.44831683168316,0.424,0.1375,0.239,0.1350745365915651,0.1555843701311053,0.0579545454545454,0.0579545454545454,0.0106037351984855,0.0098945294871603,1469676904,0.0,0.0,0.1375,0.074908,0.074908,1469676904,3,0.503798086533294,2.066348,3.375756,1.9449477,1.3187332,2.5992887,4.1015487,0.578,1.994,4.041,0.557,1,MQ,0.0102491323428229,0.0579545454545454,0.14532945336133518
8gon,2,88.95671910452276,70.87066666666668,69.17671428571427,76.61793103448277,75.93823529411763,73.73877551020409,67.67118811881188,0.424,0.1375,0.228,0.1339349755886343,0.1561915916174514,0.0602857142857142,0.0602857142857142,0.0105383548163707,0.0099204351352782,1469676904,0.0,0.0,0.1375,0.075391,0.075391,1469676904,2,0.4968518863375318,2.005489,3.300141,2.0298805,1.2322474,2.618208,4.7508583,0.58,1.764,4.168,0.514,1,MQ,0.01022939497582445,0.0602857142857142,0.14506328360304283
8gon,0,89.12790803206777,71.69016666666668,68.40985714285713,77.6746551724138,75.79735294117647,75.49510204081633,66.69178217821784,0.432,0.1425,0.192,0.1339258881494692,0.1515974027009538,0.0778787878787878,0.0778787878787878,0.0104762559612151,0.0100517700092799,1469676904,0.0,0.0,0.1425,0.0742502499999999,0.0742502499999999,1469676904,0,0.5112081479944965,4.822734,8.9092045,2.5037155,2.1941807,6.135305,8.293377,0.036,6.343,40.542,0.014,0,LQ,0.010264012985247501,0.0778787878787878,0.1427616454252115
8gon,1,88.7405687490546,70.69416666666667,67.84499999999998,76.48534482758622,75.97970588235295,74.09591836734694,67.12425742574257,0.418,0.1275,0.194,0.127744048345871,0.1453265550475862,0.0723529411764705,0.0723529411764705,0.010213395059349,0.0095521785590081,1469676904,0.0,0.0,0.1275,0.07312425,0.07312425,1469676904,1,0.4919059437939446,2.6776533,4.652803,2.0118017,1.5061556,2.8505778,6.8761287,0.235,2.888,15.357,0.257,1,AQ,0.00988278680917855,0.0723529411764705,0.13653530169672862
7jwi,0,88.48445305514159,77.59711538461538,78.60654545454545,68.46218390804597,83.10317073170731,73.73087719298243,75.31557894736841,0.55,0.365,0.159,0.3682014649978319,0.3833287582215323,0.3065217391304348,0.3065217391304348,0.0294221047685576,0.0182911956418343,2010428441,0.01176025,0.34975925,0.365,0.20886575,0.20886575,2010428441,0,0.6172439149528847,7.9069524,17.235985,3.967597,3.6765935,13.8878975,9.895768,0.032,16.408,35.449,0.033,0,LQ,0.02385665020519595,0.3065217391304348,0.37576511160968207
7jwi,1,88.70355737704918,77.04365384615383,79.22309090909091,67.92333333333335,83.25146341463415,73.1122807017544,75.16473684210527,0.564,0.38,0.263,0.3642737101923875,0.3994795139634811,0.2530555555555555,0.2530555555555555,0.0291551822722015,0.0216890535734824,2010428441,0.01175375,0.3503365,0.38,0.21098475,0.21098475,2010428441,1,0.6289251120734979,8.027542,17.393097,4.0993056,3.8365586,15.582729,10.939096,0.032,16.541,35.025,0.033,0,LQ,0.02542211792284195,0.2530555555555555,0.38187661207793433
7jwi,4,88.35694932935917,76.55999999999999,78.35945454545454,66.43057471264366,81.93073170731708,72.29315789473684,73.45536842105263,0.534,0.3425,0.186,0.3343338569993995,0.3861611202443548,0.3019354838709677,0.3019354838709677,0.0248792500136239,0.0185007764921359,2010428441,0.0116969999999999,0.34911325,0.3425,0.19619275,0.19619275,2010428441,4,0.6035718916400502,8.170569,17.595732,4.3290777,3.997796,14.37018,9.902285,0.031,16.512,35.834,0.033,1,LQ,0.0216900132528799,0.3019354838709677,0.36024748862187717
7jwi,3,88.41764083457527,77.26884615384616,78.14563636363637,66.66793103448275,82.43585365853659,72.42070175438596,73.86042105263158,0.522,0.3175,0.11,0.3063038638313908,0.32715172250775,0.2961111111111111,0.296111111111111,0.0215879751970694,0.0145540740770575,2010428441,0.00542325,0.1608225,0.3175,0.18201,0.18201,2010428441,3,0.5896411092189893,7.9816613,17.287712,4.0725055,3.8211722,14.872646,11.323543,0.032,16.17,35.758,0.033,0,LQ,0.01807102463706345,0.29611111111111105,0.3167277931695704
7jwi,2,88.29581371087929,76.85884615384614,78.4961818181818,67.35183908045975,82.31975609756098,72.80824561403509,73.95410526315789,0.542,0.355,0.192,0.3481218789147615,0.371571489482319,0.27,0.27,0.0267602123236791,0.0177075054328145,2010428441,0.01136125,0.3428865,0.355,0.19930725,0.19930725,2010428441,2,0.6119650196275525,8.009472,17.287848,4.2416377,3.8796728,13.701607,9.075835,0.032,16.386,35.689,0.033,1,LQ,0.0222338588782468,0.27,0.35984668419854027
8f5a,2,91.65840443297404,82.63914893617022,79.99586206896552,80.76747252747253,81.8891891891892,81.38944444444445,82.88015624999998,0.6,0.5225,0.177,0.6218458092014512,0.6690505278094303,0.4636111111111111,0.4636111111111111,0.0740509951184075,0.085423245847265,1629925859,0.16024075,0.4781535,0.5225,0.427249,0.427249,1629925859,2,0.727167410961602,1.9796429,3.703068,2.6987278,0.85817516,5.1556816,2.8781846,0.344,2.429,11.114,0.386,0,AQ,0.07973712048283625,0.4636111111111111,0.6454481685054407
8f5a,3,91.74526339760136,83.38978723404254,81.03258620689654,81.97065934065935,82.0154054054054,82.17666666666668,83.13843750000001,0.602,0.535,0.269,0.6592333712253962,0.6949739308172445,0.4436734693877551,0.4436734693877551,0.0923513964891662,0.1131729964808157,1629925859,0.1724305,0.4811945,0.535,0.4384855,0.4384855,1629925859,3,0.7351817260659226,1.9162015,3.345088,3.4471104,0.7757632,5.1863236,2.1424925,0.458,2.053,8.78,0.543,1,AQ,0.10276219648499095,0.4436734693877551,0.6771036510213203
8f5a,4,91.58020798542584,82.83872340425532,80.67706896551724,81.10912087912087,81.30486486486487,81.35388888888889,82.53875,0.598,0.52,0.268,0.6502640250247665,0.6799617533897357,0.4338,0.4338,0.0904691713810403,0.1006166409892361,1629925859,0.15549,0.47721175,0.52,0.4258505,0.4258505,1629925859,4,0.7273579757537044,1.8497558,3.2991633,3.021469,0.8038606,5.190455,2.119888,0.519,1.858,6.481,0.529,0,AQ,0.0955429061851382,0.4338,0.6651128892072511
8f5a,1,91.81227721269164,83.55659574468085,81.77482758620691,81.91065934065935,82.12972972972975,82.37370370370371,83.55453125,0.618,0.5525,0.217,0.6837316436599965,0.7139659322091382,0.4595238095238095,0.4595238095238096,0.1097628321134204,0.1255193186180795,1629925859,0.19809925,0.5020822500000001,0.5525,0.4654185,0.4654185,1629925859,1,0.7484948368325843,1.6324695,3.0007236,2.1484604,0.79384744,4.7153316,2.1688564,0.571,1.78,4.456,0.514,0,MQ,0.11764107536574994,0.45952380952380956,0.6988487879345673
8f5a,0,91.7472703810536,84.0155319148936,81.00120689655172,82.58153846153846,81.34513513513514,82.25203703703704,81.47,0.61,0.5475,0.261,0.6897633136818895,0.6937238598997032,0.4302040816326531,0.430204081632653,0.1186704445556537,0.1047948087306555,1629925859,0.190473,0.490874,0.5475,0.455297,0.455297,1629925859,0,0.7479368544671844,1.8075844,3.1269028,3.4524233,0.6611116,5.0595,1.2138978,0.518,1.795,8.022,0.614,0,AQ,0.1117326266431546,0.43020408163265306,0.6917435867907964
7n2p,0,88.84175844516427,74.51893617021275,76.88948275862067,71.63272727272728,81.499375,78.43981481481481,67.64731958762887,0.55,0.3825,0.185,0.3061544023694034,0.3608606214895992,0.2544444444444445,0.2544444444444445,0.0191970918965232,0.0176476101135507,4288702930,0.0106045,0.3233735,0.3825,0.21703125,0.21703125,4288702930,0,0.6174735165004185,2.0483596,3.961105,1.5341642,1.0166597,4.252678,4.1927214,0.293,2.765,12.442,0.333,0,AQ,0.01842235100503695,0.2544444444444445,0.3335075119295013
7n2p,1,89.11004473237699,76.39510638297871,77.95344827586206,72.49974025974025,82.46187499999999,79.35814814814813,71.78773195876289,0.608,0.475,0.26,0.410829530883286,0.4773359309458084,0.2441176470588235,0.2441176470588235,0.0332408219780828,0.0331655050670417,4288702930,0.04374325,0.3702185,0.475,0.29689,0.29689,4288702930,1,0.6725573641366007,1.9765713,3.8258305,1.5539563,0.9663928,4.9850864,4.796089,0.415,1.958,10.451,0.476,0,AQ,0.03320316352256225,0.2441176470588235,0.4440827309145472
7n2p,3,89.26345519049822,75.96191489361703,77.93896551724139,73.32974025974026,82.199375,79.27888888888891,70.96865979381444,0.61,0.475,0.26,0.3987391386063625,0.4746568643289245,0.2366666666666666,0.2366666666666666,0.0312169623357599,0.0322737690094945,4288702930,0.0451725,0.36467925,0.475,0.2954895,0.2954895,4288702930,3,0.676156308218138,1.773796,3.3500278,1.4887251,0.94385695,3.6706195,4.2419786,0.437,2.026,9.725,0.524,1,AQ,0.0317453656726272,0.2366666666666666,0.4366980014676435
7n2p,4,88.82518124325158,75.05510638297872,76.81827586206894,72.60623376623376,79.82375,77.16574074074073,67.43092783505155,0.556,0.3825,0.146,0.3289532700379109,0.3939817221010934,0.2495238095238095,0.2495238095238095,0.0207365713438427,0.0206569703967914,4288702930,0.01148075,0.3402172499999999,0.3825,0.23183575,0.23183575,4288702930,4,0.6278635916384491,1.7639719,3.164679,1.6001035,1.077539,5.500493,2.2680936,0.423,1.859,10.797,0.492,0,AQ,0.02069677087031705,0.2495238095238095,0.3614674960695021
7n2p,2,88.78598796853309,75.01510638297871,76.93413793103448,72.49688311688313,80.7225,77.82055555555556,67.3498969072165,0.568,0.405,0.199,0.3351820914020059,0.4108406140904618,0.2440740740740741,0.244074074074074,0.0217391025572695,0.0226582912677149,4288702930,0.011712,0.34459425,0.405,0.24656925,0.24656925,4288702930,2,0.639756004316587,1.6974734,3.0853915,1.6654121,0.9832881,4.1067815,3.2730834,0.481,1.831,8.466,0.54,1,AQ,0.0221986969124922,0.24407407407407405,0.37301135274623387
5jhd,4,92.69222906959268,89.05016666666667,71.64371428571427,93.87828125,94.21358974358974,92.2495652173913,90.7925352112676,0.8300000000000001,0.83,0.571,0.9586855455335986,0.9405022832751864,0.8086538461538461,0.8086538461538463,0.8135674772125543,0.6827729466427541,714480635,0.61844725,0.82499525,0.83,0.82499525,0.82499525,714480635,4,0.8858764897265842,0.7811554,0.94386655,1.9616069,0.47518906,0.47531736,1.0020007,0.899,0.662,1.759,0.9,0,HQ,0.7481702119276542,0.8086538461538462,0.9495939144043926
5jhd,3,92.50314745227716,87.5135,71.6087142857143,93.4653125,93.85179487179484,92.0141304347826,90.2305633802817,0.818,0.8200000000000001,0.577,0.9537405097730038,0.9358152669786088,0.8105555555555555,0.8105555555555556,0.7938235757047991,0.6530819976312303,714480635,0.5908640000000001,0.80853,0.8200000000000001,0.80853,0.80853,714480635,3,0.8769775487752615,0.8087954,0.8187536,1.9193527,0.6068819,0.542431,0.6255279,0.887,0.679,2.055,0.886,1,HQ,0.7234527866680147,0.8105555555555555,0.9447778883758063
5jhd,2,92.54946790921387,86.77699999999999,71.11457142857142,93.208125,93.82794871794871,91.53434782608696,90.35591549295776,0.8160000000000001,0.8150000000000001,0.576,0.9502920002061536,0.933700539134045,0.7967857142857142,0.7967857142857142,0.7791190835568002,0.6334705281116996,714480635,0.59287575,0.80889175,0.8150000000000001,0.80889175,0.80889175,714480635,2,0.8763122357476572,0.735079,0.8087395,1.9411178,0.45488745,0.6084921,0.7217671,0.881,0.633,2.697,0.886,0,HQ,0.7062948058342499,0.7967857142857142,0.9419962696700993
5jhd,0,92.5939140237487,87.19266666666667,71.41728571428573,93.46890625,93.76794871794873,92.00630434782607,89.88338028169014,0.8240000000000001,0.825,0.575,0.9515368923486678,0.9369542705349668,0.7860714285714285,0.7860714285714285,0.781450763333496,0.6525764550033926,714480635,0.60074775,0.817456,0.825,0.817456,0.817456,714480635,0,0.8819352585419691,0.77334154,0.86709046,1.9384044,0.50887847,0.57494235,0.6559304,0.866,0.715,2.382,0.857,0,HQ,0.7170136091684443,0.7860714285714285,0.9442455814418174
5jhd,1,92.5224124455133,87.12500000000001,70.43342857142858,93.370625,93.9274358974359,91.99978260869564,89.93323943661971,0.8240000000000001,0.825,0.566,0.9531326734854748,0.9371563108263424,0.8137735849056603,0.8137735849056604,0.786817513583395,0.6528211282364109,714480635,0.59883575,0.81661125,0.825,0.81661125,0.81661125,714480635,1,0.881633244452162,0.74733454,0.88193446,1.882974,0.4644888,0.476283,0.64336264,0.889,0.721,1.512,0.886,0,HQ,0.719819320909903,0.8137735849056604,0.9451444921559087
6vrm,1,90.92442181038444,81.85725,72.23685714285715,84.07402439024389,88.497,83.85297297297298,91.14272727272729,0.6679999999999999,0.5825,0.264,0.7910772085745641,0.7654198995513055,0.543448275862069,0.5434482758620689,0.3412102701888059,0.2094181945596208,3914634039,0.17151175,0.50464125,0.5825,0.45128675,0.45128675,3914634039,1,0.7312918262382544,1.7977293,3.232221,1.11325,1.0415713,2.1147742,4.8381295,0.559,2.092,5.695,0.648,0,MQ,0.2753142323742134,0.5434482758620689,0.7782485540629348
